Name,Position,Website,Role,Notes,Photo
Alan Edelman,Principal Investigator,http://www-math.mit.edu/~edelman,Current Member,,Yes
Albert Gnadt,PhD Student,https://gnadt.github.io/,Current Member,,Yes
Alexander Lenail,PhD Student,https://alexlenail.me/,Current Member,,Yes
Alex Townsend,?,http://math.mit.edu/~ajt/,Collaborators,Mathematics,Yes
Ali Ramadhan,?,https://www.linkedin.com/in/ali-ramadhan/,?,,Yes
Andreas Noack,Postdoctoral Associate,https://github.com/andreasnoack,Current Member,,Yes
Benjamin Urquhart,Undergraduate,?,Current Member,,Yes
Chiyuan Zhang,?,http://pluskid.org,Collaborators,CSAIL,Yes
Chris de Graaf,Research Software Engineer,https://cdg.dev/,Current Member,,Yes
Chris Rackauckas,Applied Math Instructor,http://chrisrackauckas.com/,Current Member,,Yes
Collin Warner,?,?,?,,Yes
Cooper Sloan,Undergraduate,?,Current Member,,
Dan Girshovich,Research Software Engineer,https://dangirsh.org/,Current Member,,Yes
David A. Gold,Visiting PhD Student,https://github.com/davidagold,Current Member,,Yes
David Kaplow,Undergraduate,?,Current Member,,
David P. Sanders,Visiting Professor,http://sistemas.fciencias.unam.mx/~dsanders/,Current Member,,Yes
Deniz Yuret,?,?,?,,Yes
Diogo Netto,Undergraduate,https://github.com/d-netto,Current Member,,Yes
Eka Palamadai,PhD Student,http://people.csail.mit.edu/epn/epn.html,Current Member,,Yes
Emmanuel Lujan,Postdoctoral Associate,http://www.emmanuellujan.com,Current Member,,Yes
Felix Tran,?,?,?,,Yes
Homer Reid,?,http://homerreid.dyndns.org,Collaborators,Mathematics,Yes
Ivan Slapničar,Visiting Professor,http://marjan.fesb.hr/~slap/index1.html,Alumni,Fall 2014,Yes
Jacob Higgins,Undergraduate,?,Current Member,,Yes
Jake Bolewski,Research Engineer,https://github.com/jakebolewski,Alumni,Summer 2014-Spring 2016,Yes
James Schloss,Research Software Engineer,https://github.com/leios,Current Member,,Yes
Jameson Nash,Undergraduate Student,https://github.com/vtjnash,Alumni,Summer 2013,Yes
Jared Crean,?,?,?,,Yes
Jarrett Revels,Research Engineer,https://github.com/jrevels,Current Member,,Yes
Jean Yang,?,http://jeanyang.com,Collaborators,CSAIL alum,Yes
Jeff Bezanson,PhD Student,https://github.com/JeffBezanson,Alumni,Fall 2009-Spring 2015,Yes
Jeremy Kepner,Founding Sponsor (Lincoln Laboratories),http://www.mit.edu/~kepner/,Current Member,,Yes
Jerry Lingjie Mei,?,?,?,,Yes
Jiahao Chen,Research Scientist,https://jiahao.github.io/,Current Member,,Yes
Joey Huchette,?,http://www.mit.edu/~huchette,Collaborators,,Yes
Jon Malmaud,?,http://malmaud.com,Collaborators,Brain and Cognitive Sciences,Yes
Juan Pablo Vielma,?,http://www.mit.edu/~jvielma/,Collaborators,,Yes
Julian Samaroo,Research Software Engineer,https://github.com/jpsamaroo,Current Member,,Yes
Karen Chung,?,?,?,,Yes
Katharine Hyatt,Visiting PhD Studentm,https://github.com/kshyatt,Current Member,,
Kelly Shen,Undergraduate,?,Current Member,,Yes
Keno Fischer,Undergraduate Student,https://github.com/keno,Alumni,Summer 2013 and Summer 2014,Yes
Kirill Zubov,?,?,?,,Yes
Lin Pease,Undergraduate,?,Current Member,,
Luana Lara,?,?,?,,Yes
Mark Wang,Undergraduate,?,Current Member,,Yes
Matt Bauman,Visiting PhD Student,https://github.com/mbauman,Alumni,Fall 2015,Yes
Matt Johnson,?,?,?,,Yes
Miles Lubin,?,http://www.mit.edu/~mlubin/,Collaborators,,Yes
Oscar Blumberg,Visiting Masters Student,https://github.com/carnaval,Alumni,Spring-Summer 2015,
Philip,Pet,https://news.mit.edu/2020/computational-thinking-class-enables-students-engage-covid-19-response-0407,Current Member,,Yes
Peter Ahrens,?,?,?,,Yes
Raj Abhijit Dandekar,PhD Student,https://scholar.google.com/citations?user=xTLUWMIAAAAJ&hl=en,Current Member,,Yes
Ranjan Anantharaman,PhD Student,https://github.com/ranjanan,Current Member,,Yes
Runpeng Liu,Undergraduate Student,http://runpeng.mit.edu,Alumni,Fall 2015,
Shashi Gowda,PhD Student,http://shashi.biz/,Current Member,,Yes
Shawn Im,Undergraduate,?,Current Member,,Yes
Simon Kornblith,?,http://simonster.com,Collaborators,Brain and Cognitive Sciences,Yes
Spencer Russell,?,http://ssfrr.com/,Collaborators,Media Lab,Yes
Stefan Karpinski,Data Scientist,http://karpinski.org,Alumni,Summer 2013-Fall 2014,Yes
Steven G. Johnson,?,http://math.mit.edu/~stevenj/,Collaborators,Mathematics,Yes
Sung Woo Jeong,PhD Student,https://math.mit.edu/directory/profile.php?pid=1782,Current Member,,Yes
Takafumi Arakaki,Postdoctoral Associate,?,?,,Yes
The JuliaOpt team,?,http://www.juliaopt.org,Collaborators,,
Theo Diamandis,PhD Student,https://github.com/tjdiamandis,Current Member,,Yes
Tim Besard,Visiting PhD Student,https://github.com/maleadt,Current Member,,Yes
Valentin Churavy,PhD Student,https://github.com/vchuravy,Current Member,,Yes
Valentin Sulzer,?,https://github.com/tinosulzer,Collaborators,,Yes
Vijay Ivaturi,?,?,?,,Yes
Weijian Zhang,Visiting Student,https://github.com/weijianzhang,Alumni,Spring 2016,Yes
Wiktor Phillips,?,?,?,,Yes
Xianyi Zhang,Postdoctoral Associate,https://github.com/xianyi,Current Member,,
Yee Sian Ng,?,http://orc.scripts.mit.edu/people/student.php?name=yeesian,Collaborators,,Yes
Zenna Tavares,?,http://zenna.org,Collaborators,CSAIL,Yes
Zoe McCarthy,?,https://github.com/zoemcc,Current Member,,Yes
